 实验序号  正常计算时间(秒)  有伦理实验的时间(秒)     开销比值  无伦理错误数量  伦理错误数量  无伦理错误检测成功率(%)  有伦理错误检测成功率(%)
    1   0.346587     0.371915 1.073080     4517     483          100.0          100.0
    2   0.351057     0.407188 1.159891     4521     479          100.0          100.0
    3   0.334135     0.353376 1.057585     4548     452          100.0          100.0
    4   0.340090     0.391603 1.151470     4516     484          100.0          100.0
    5   0.332992     0.362615 1.088962     4523     477          100.0          100.0
    6   0.349039     0.399205 1.143727     4546     454          100.0          100.0
    7   0.353510     0.397852 1.125435     4545     455          100.0          100.0
    8   0.375535     0.395525 1.053233     4538     462          100.0          100.0
    9   0.339173     0.370493 1.092342     4519     481          100.0          100.0
   10   0.389366     0.363980 0.934803     4533     467          100.0          100.0
